start_date,start_time,title
2026-02-27,10:30 PM,Ben’s Doing Fine is hitting the Crown Royal Stage at Rox Live 🔥
2026-02-26,,Dine Around 2026
2026-02-27,10:00 PM,🎉 FUN HOUSE WEEKEND BLOCK PARTY 🎉
2026-03-01,,March is for Music in Downtown Halifax
2026-03-03,07:30 PM,MEGADETH
2026-02-27,02:00 AM,Who’s Afraid of Virginia Woolf?
2026-03-08,19:00,Ian Janes
2026-03-13,20:00,Ben Caplan + Moira & Claire – Friday
2026-03-14,20:00,Ben Caplan + Moira & Claire – Saturday
2026-03-21,20:00,Sekhon X
2026-03-28,20:00,SOLD OUT A Tribute To John Prine – evening
2026-04-03,20:00,Charlie A’Court – Friday
2026-04-10,20:00,Caledonia
2026-04-17,20:00,SOLD OUT: Steve Poltz – Friday
2026-04-28,19:00,Jane Siberry – Tuesday
2026-04-29,19:00,SOLD OUT: Jane Siberry – Wednesday
2026-05-03,19:00,Connie Kaldor
2026-05-09,21:00,Rasta Gumbo
2026-05-23,20:00,Pretty Archie
2026-05-24,19:00,Brass Camel
2026-06-17,19:00,The Pairs
2026-10-05,19:00,David Francey
2026-10-06,19:00,David Francey
2026-11-19,19:30,Harry Manx
2026-03-08,3:00 PM,A Li’l Affair
2026-03-28,1:00 PM,Sly Fox
2026-03-05,6:30 PM,Candlelight: Best of Bridgerton on Strings - Waitlist
2026-03-31,19:30,Music of the Night
2026-10-21,19:30,Styx
2026-03-10,7:00 pm,Making Space: A Halifax Story
2026-05-07,8:00 pm,ALT CTRL – Supergroup Therapy Class
2026-04-11,9:00 pm,"BABES, BABES, BABES! Burlesque and Drag Show – Halifax"
2026-03-14,9:00 pm,DANCING QUEEN
2026-02-27,Starts: 8:00 PM AST,Pretty Normal
2026-03-28,10:00 pm,PORTVL
2026-03-28,Starts: 10:00 PM ADT,EAST COAST EMO NIGHT
2026-06-26,9:00 pm,THE BUG CLUB & THE BOOJUMS
2026-03-14,11:00 pm,Y2K
2026-03-07,Starts: 8:30 PM AST,Mamma Mia! A Drag-Along Spectacular
2026-05-23,Starts: 12:00 PM ADT,DRIVEN Halifax
2026-04-25,Starts: 7:00 PM ADT,FLA 24
2026-03-06,Starts: 10:00 PM AST,"GOLDEN - All 90s, All Night"
2026-04-02,Starts: 7:00 PM ADT,Savour Food & Wine Show
2026-03-06,8:00 PM,Travis Lindsay
2026-03-13,8:00 PM,Clare Belford
2026-03-20,8:00 PM,John Perrotta
2026-03-27,8:00 PM,Jfl Showcase
2026-03-28,8:00 PM,Andrew Evans
2026-03-28,4:30 PM,The Relics
2026-03-27,9:30 PM,The Brood
2026-03-26,8:30 PM,Verry Gerry
2026-03-06,9:30 PM,The Ordeals
2026-04-24,9:30 PM,Andrew Moore
2026-04-11,9:30 PM,Lisa Richard
2026-04-11,4:30 PM,Buddy Daniels
2026-03-17,,Activities
2026-05-13,,"PO Box 31076 Gladstone, Halifax, Nova Scotia B3K 5T9"
