start_date,title,parsed_date
2025-12-10,Untitled event,2025-12-10
2025-12-17,Untitled event,2025-12-17
2026-02-20,Untitled event,2026-02-20
2026-02-24,Untitled event,2026-02-24
2026-03-04,Untitled event,2026-03-04
2026-03-14,Untitled event,2026-03-14
2026-03-19,Untitled event,2026-03-19
2026-04-06,Untitled event,2026-04-06
2026-04-23,Untitled event,2026-04-23
2026-04-30,Untitled event,2026-04-30
2026-05-08,Untitled event,2026-05-08
2026-05-27,Untitled event,2026-05-27
2026-01-24,Ty Messick &amp; Friends,2026-01-24
2026-01-31,Maximum Overdrive,2026-01-31
2025-12-17,"The Hardest Music Trivia in Halifax!! Hosted by Josh White! ""Think You Know Music?! Come On Down &amp; Test Yourself!""",2025-12-17
2025-12-31,New Year's Eve Dance Party Dancing! Drink Specials! Open until 1am! Tickets $15. Available on Eventbrite Includes One Drink Ticket!,2025-12-31
2025-12-15,General Trivia with Mitch &amp; Anish! DM @mwgallant / @anishnaqvi for signups!,2025-12-15
2025-12-22,General Trivia with Mitch &amp; Anish! DM @mwgallant / @anishnaqvi for signups!,2025-12-22
2025-12-14,Christmas @ the Brewery Market (The Mom Market),2025-12-14
2025-12-12,"Award-winning stand-up comedian, François Weber",2025-12-12
2025-12-11,A Very Dartmouth Christmas Concert,2025-12-11
2025-12-20,Gypsy: A Tribute to Fleetwood Mac,2025-12-20
2025-12-18,Better Times: Holiday Special at the Sanctuary!,2025-12-18
2025-12-11,Adam Baldwin &amp; The Jenny Wren (THURSDAY),2025-12-11
2025-12-12,Adam Baldwin &amp; The Jenny Wren (Friday),2025-12-12
2025-12-13,Adam Baldwin &amp; The Jenny Wren (Saturday),2025-12-13
2025-12-31,New Years 2025 Party,2025-12-31
2026-01-23,Joke Signals: The Lateral Vibrance Tour,2026-01-23
2025-12-20,Glow Gardens 2025,2025-12-20
2025-12-12,Painting &amp; Pints: Maud Lewis  - Yellow Birds,2025-12-12
2025-12-19,Ball at the Brewery 4: A Garrison Pageant,2025-12-19
2025-12-20,Meaghan Smith - The Holiday Show,2025-12-20
2025-12-13,The Irish Descendant Christmas,2025-12-13
2025-12-19,"Julie Doiron, Caged Animals (Make Friends Strange Record Release) &amp; Steven Lambke",2025-12-19
2025-12-09,Pint Sized Comedy,2025-12-09
2025-12-16,Pint Sized Comedy,2025-12-16
2025-12-23,Pint Sized Comedy,2025-12-23
2025-12-30,Pint Sized Comedy,2025-12-30
2026-01-06,Pint Sized Comedy,2026-01-06
2026-01-23,SIP N SHUCK 2026,2026-01-23
2025-12-20,HOLIDAY HOUSE PARTY,2025-12-20
2026-01-31,Halifax Thunderbird vs Georgia Swarm,2026-01-31
2025-12-19,Candlelight: Christmas Classics,2025-12-19
2026-01-31,Candlelight: Vivaldi’s Four Seasons &amp; More,2026-01-31
2026-02-28,Candlelight: Vivaldi’s Four Seasons &amp; More,2026-02-28
2025-12-31,New Years Eve Party w/ Rankin MacInnis &amp; The Broken Reeds,2025-12-31
2026-02-13,Darcy &amp; Jer: Average At Best Tour,2026-02-13
2025-12-20,Rankin’s Winter Warmers,2025-12-20
2026-01-03,Rankin’s Winter Warmers,2026-01-03
2026-01-10,Rankin’s Winter Warmers,2026-01-10
2026-01-17,Rankin’s Winter Warmers,2026-01-17
2026-01-24,Rankin’s Winter Warmers,2026-01-24
2026-01-31,Rankin’s Winter Warmers,2026-01-31
2026-02-07,Rankin’s Winter Warmers,2026-02-07
2026-02-14,Rankin’s Winter Warmers,2026-02-14
2026-02-21,Rankin’s Winter Warmers,2026-02-21
2026-02-28,Rankin’s Winter Warmers,2026-02-28
2026-03-07,Rankin’s Winter Warmers,2026-03-07
2026-03-14,Rankin’s Winter Warmers,2026-03-14
2026-03-05,Mendelssohn's Scottish &amp; Bruch's Violin,2026-03-05
2026-03-13,The Beatles: Long &amp; Winding Road,2026-03-13
2026-04-16,Jeremy Dutcher &amp; the National Arts Centre Orchestra,2026-04-16
2026-04-17,Lunenburg: Purcell's King Arthur &amp; The Fairy Queen,2026-04-17
2026-04-19,Purcell's King Arthur &amp; The Fairy Queen,2026-04-19
2026-08-20,"Matt Mays, Joel Plaskett Emergency, Terra Lightfoot",2026-08-20
2025-12-13,Maritime Museum of the Atlantic:  Free Weekends For Evergreen Festival!,2025-12-13
2025-12-09,Sleighbells in the Sun,2025-12-09
2026-05-16,WINTERSLEEP,2026-05-16
2026-04-02,Savour Food &amp; Wine Show,2026-04-02
2025-12-29,General Trivia with Mitch &amp; Anish! DM @mwgallant / @anishnaqvi for signups!,2025-12-29
2025-12-17,The Hardest Music Trivia in Halifax!! Hosted by Josh White!,2025-12-17
2025-12-11,Drink &amp; Draw with Max –,2025-12-11
2025-12-08,SOLD OUT: Kenny &amp; Dolly’s A Christmas To Remember – Monday,2025-12-08
2025-12-09,SOLD OUT: Kenny &amp; Dolly’s A Christmas To Remember – Tuesday,2025-12-09
2025-12-13,8 TIX LEFT! Broadway Brunch – Holiday Edition – Saturday,2025-12-13
2025-12-14,6 TIX LEFT! Broadway Brunch – Holiday Edition – Sunday,2025-12-14
2025-12-19,Gunning &amp; Cormier Christmas 2025 – Friday,2025-12-19
2025-12-20,Gunning &amp; Cormier Christmas 2025 – Saturday,2025-12-20
2025-12-21,Gunning &amp; Cormier Christmas 2025 – Sunday,2025-12-21
2025-12-22,Gunning &amp; Cormier Christmas 2025 – Monday,2025-12-22
2025-12-11,"Charlottetown, Islanders @ Halifax, Mooseheads",2025-12-11
2025-12-18,"Saint John, Sea Dogs @ Halifax, Mooseheads",2025-12-18
2026-02-15,Ariana Nasr &amp; Curtis Thorpe – Sing Édith Piaf &amp; More!,2026-02-15
2025-12-09,The Freaky Neighbour,2025-12-09
2025-12-28,"Newfoundland, Regiment @ Halifax, Mooseheads",2025-12-28
2025-12-30,"Cape Breton, Eagles @ Halifax, Mooseheads",2025-12-30
2026-01-03,"Moncton, Wildcats @ Halifax, Mooseheads",2026-01-03
2026-01-10,"Gatineau, Olympiques @ Halifax, Mooseheads",2026-01-10
2026-01-15,"Chicoutimi, Saguenéens @ Halifax, Mooseheads",2026-01-15
2026-01-17,"Charlottetown, Islanders @ Halifax, Mooseheads",2026-01-17
2026-01-23,"Sherbrooke, Phœnix @ Halifax, Mooseheads",2026-01-23
2026-01-25,"Drummondville, Voltigeurs @ Halifax, Mooseheads",2026-01-25
2026-02-04,"Newfoundland, Regiment @ Halifax, Mooseheads",2026-02-04
2026-02-07,"Cape Breton, Eagles @ Halifax, Mooseheads",2026-02-07
2026-02-12,"Shawinigan, Cataractes @ Halifax, Mooseheads",2026-02-12
2026-02-13,"Moncton, Wildcats @ Halifax, Mooseheads",2026-02-13
2026-02-27,"Saint John, Sea Dogs @ Halifax, Mooseheads",2026-02-27
2026-03-01,"Québec, Remparts @ Halifax, Mooseheads",2026-03-01
2026-03-05,"Blainville-Boisbriand, Armada @ Halifax, Mooseheads",2026-03-05
2026-03-06,"Cape Breton, Eagles @ Halifax, Mooseheads",2026-03-06
2025-12-13,Comedy Night,2025-12-13
2025-12-11,Trivia with Mark Harvey,2025-12-11
2025-12-12,Garrett Mason,2025-12-12
2025-12-19,Jake Ballard and TBD openers,2025-12-19
2025-12-18,Al Tuck,2025-12-18
2025-12-20,Human missile crisis and others,2025-12-20
2025-12-27,Christmas Dance Party,2025-12-27
2026-01-01,Happy Holidays!!!,2026-01-01
2026-01-16,Lint and Friends TBA,2026-01-16
2026-01-31,Mango Street,2026-01-31
2026-05-08,"IDialedYourNumber, Earth moon transit, fishmonger, Fencing",2026-05-08
2025-12-11,Drink &amp; Draw with Max,2025-12-11
