club_id,club_name,source_type,source_url,activity_tier,manual_review_due_at,reason
blt-runners-instagram,BLT Runners,instagram,https://www.instagram.com/bltrunners,medium,,missing_due_date
chain-of-lakes-parkrun-facebook,Chain of Lakes parkrun,facebook,https://facebook.com/Chainoflakesparkrun,high,,missing_due_date
chain-of-lakes-parkrun-instagram,Chain of Lakes parkrun,instagram,https://www.instagram.com/chainoflakesparkrun,high,,missing_due_date
cole-harbour-runners-facebook,Cole Harbour Runners,facebook,https://facebook.com/Coleharbourrunners,medium,,missing_due_date
easy-breezy-run-club-instagram,Easy Breezy Run Club,instagram,https://instagram.com/easybreezy.runclub,medium,,missing_due_date
easy-breezy-run-club-instagram-2,Easy Breezy Run Club,instagram,https://www.instagram.com/easybreezy.runclub,medium,,missing_due_date
fast-company-running-club-facebook,Fast Company Running Club,facebook,https://facebook.com/p/Fast-Company-Running-Club-100057396312514,medium,,missing_due_date
girls-gone-gazelle-run-club-facebook,Girls Gone Gazelle Run Club,facebook,https://facebook.com/girlsgonegazelle,medium,,missing_due_date
halifax-road-hammers-facebook,Halifax Road Hammers,facebook,https://facebook.com/hfxroadhammers,high,,missing_due_date
halifax-road-hammers-instagram,Halifax Road Hammers,instagram,https://www.instagram.com/hfxroadhammers,high,,missing_due_date
halifax-road-runners-facebook,Halifax Road Runners,facebook,https://facebook.com/groups/1025332235969547,medium,,missing_due_date
halifax-running-club-facebook,Halifax Running Club,facebook,https://facebook.com/profile.php?id=100063744333169,high,,missing_due_date
halifax-running-club-instagram,Halifax Running Club,instagram,https://www.instagram.com/halifaxrunningclub,high,,missing_due_date
halifax-trail-runners-facebook,Halifax Trail Runners,facebook,https://facebook.com/hfxtrailrunners,high,,missing_due_date
heart-sole-running-club-facebook,Heart & Sole Running Club,facebook,https://facebook.com/heartandsolerunclub,medium,,missing_due_date
hfx-hares-instagram,HFX Hares,instagram,https://www.instagram.com/hfx_hares,medium,,missing_due_date
north-end-runners-facebook,North End Runners,facebook,https://facebook.com/northendrunners,medium,,missing_due_date
north-end-runners-instagram,North End Runners,instagram,https://www.instagram.com/northendrunners,medium,,missing_due_date
queer-run-club-hfx-instagram,Queer Run Club HFX,instagram,https://www.instagram.com/qrchfx,medium,,missing_due_date
