Event Name,Event Description,Event Start Date,Event Start Time,Event End Date,Event End Time,Event Venue Name,Event Venue Country,Event Venue State/Province,Event Venue City,Event Venue Address,Event Venue Zip,Event Cost,Event Category,Event URL,Event Featured Image,Event Tags,SOURCE
African Heritage Month Flag Raising,Flag Raising Jan. 29 | 10:00 a.m. to 11:30 a.m. Grand Parade Square and Halifax Hall or watch on YouTube Attend an African Heritage Month flag raising at Grande Parade before moving indoors to Halifax Hall for a proclamation reading by Mayor Fillmore and light refreshments.,2026-01-29,10:00 AM,,11:30 AM,Grand Parade Square and Halifax Hall,,,,,,0,Other,https://downtownhalifax.ca/event/african-heritage-month-flag-raising-0,,Other,Downtown Halifax
📚🎉 BACK TO SCHOOL HALI BASH! 🎉📚,"📚💚 BACK TO SCHOOL HALI BASH 💚📚 The Rox is bringing you the ultimate throwback party to kick off the semester right! Join us Thursday, January 29 at The Roxbury Urban Dive Bar for a night of big vibes, green shots, and unreal giveaways. 🔥 Jägerbomb Special — 3 for $13 🎁 Giveaways all night: • Mini fridge • Semester survival basket • Roxbury gift cards 🕘 Doors open at 9PM 📍 1743 Grafton Street Grab your crew, skip the homework, and party like it’s the first week back 😎🍻",2026-01-29,09:00 PM,,03:30 AM,Roxbury 1743 Grafton Street Halifax,,,,,,13,"Arts & Culture, Live Music",https://downtownhalifax.ca/event/back-school-hali-bash,,"Arts & Culture, Live Music & Nightlife",Downtown Halifax
🏖️🌅 Corona & The Dome Present: The Ultimate Beach Bash!,"🏖️🌅 Corona & The Dome Present: The Ultimate Beach Bash! We’re turning winter into a tropical escape with an epic indoor beach party you won’t want to miss. Expect sunny vibes, palm trees in full swing, amazing giveaways, and $5 Coronas all night long. 🍺🌴 Join us on Friday, January 30th as Karate Kactus and Chad Bannister take over the night with high-energy sets that’ll keep the beach vibes alive till close. Whether you roll in with board shorts, sundresses, leis, or your favourite beachwear, come ready to party under the “sun”! ☀️🎶 Beach dress suggested. Good vibes required. Let’s make it a night to remember! 🌊✨",2026-01-30,10:00 PM,,03:30 AM,The Dome Nightclub | 1726 Argyle St.,,,,,,5,"Arts & Culture, Live Music, Seasonal & Holidays",https://downtownhalifax.ca/event/corona-dome-present-ultimate-beach-bash,,"Arts & Culture, Live Music & Nightlife, Seasonal & Holidays",Downtown Halifax
Jesse Patrick & The Groove Machine + The Rebel Prospects,"The ever-entertaining Jesse Patrick , with his new band The Groove Machine (Drew Koerber on drums, Liam Parks on bass and Samm Bailey on guitar), along with special guests The Rebel Prospects , report to The Carleton stage to entertain on Thursday, January 29th . Show time is 7:30 PM and tickets are $15 + HST.",2026-01-29,07:30 PM,,10:00 PM,"The Carleton, 1685 Argyle St, Halifax, NS B3J 2B5",,,,,,15,"Live Music, Outdoors & Nature, Theatre & Performance",https://downtownhalifax.ca/event/jesse-patrick-groove-machine-rebel-prospects,,"Live Music & Nightlife, Outdoors & Nature, Theatre & Comedy",Downtown Halifax
Good Robot Goodwill Trivia ft Dartmouth General Hospital Foundation,"Join us Monday, February 2nd at Good Robot Robie Street for a night of laughs, trivia, and good vibes, all in support of the Dartmouth General Hospital Foundation! Event Details: ... Read More »",2026-02-02,7:00 PM,2026-02-02,9:30 PM,Good Robot Brewing Co.,,,,,,0,"Food & Drink, Live Music & Nightlife, Comedy & Nightlife",https://goodrobotbrewing.ca/event/good-robot-goodwill-trivia-ft-dartmouth-general-hospital-foundation/,,"good robot, brewery, trivia, comedy, events",goodrobot
Monday Night Trivia,"Halifax trivia lovers! Join us for Monday Night Trivia! Hosted by Brad Doiron, the first three Mondays of each month will feature free, general trivia in the taproom starting at ... Read More »",2026-03-02,7:00 PM,2026-03-02,9:30 PM,Good Robot Brewing Co.,,,,,,Free,"Food & Drink, Live Music & Nightlife, Comedy & Nightlife",https://goodrobotbrewing.ca/event/monday-night-trivia/2026-03-02/,,"good robot, brewery, trivia, comedy, events",goodrobot
📖 Silent Reading,"Embrace the tranquility every first Wednesday at the Imbibrary (the MouseTrap speakeasy) for Silent Reading Night! Join us for a serene evening of books, beer, and gentle shushing. Starting at ... Read More »",2026-03-04,6:00 PM,2026-03-04,10:00 PM,Good Robot Brewing Co.,,,,,,0,"Food & Drink, Live Music & Nightlife, Comedy & Nightlife",https://goodrobotbrewing.ca/event/silent-reading-at-the-imbibrary-2-2/2026-03-04/,,"good robot, brewery, trivia, comedy, events",goodrobot
Sarah Pound & The Sequels + The Public Service Duo,"Valley-based band Sarah Pound & The Sequels, along with openers the duo version of The Public Service, make their début at The Carleton on Friday, January 30th. Show time is 8 PM and tickets are $25 + HST. Sarah Pound & The Sequels is a Nova Scotia-based band blending Americana, roots, soul, R&B, and jazz.",2026-01-30,20:00,2026-01-30,23:00,The Carleton,,,,,,0,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/sarah-pound/,https://www.thecarleton.ca/wp-content/uploads/2025/12/Sarah-Pound-and-the-Sequels-Socials-Jan-30-2026-Carleton-Listing-636x220.png,"the carleton, live music, halifax, concerts",carleton
Parabolus : The Complete TOOL Experience,DOORS 7 PM | SHOW 8PM | ALL AGES,2026-04-03,8:00 PM,2026-04-03,11:59 PM,Light House Arts Centre,,,,,,0,"Live Music, Arts & Culture, Festivals & Events",https://www.lighthouseartscentre.ca/events/parabolus-the-complete-tool-experience,http://static1.squarespace.com/static/650c701bfec2e6218a2e11d9/650de5d6dbc358317447df70/696fa58689eae517d717e8ba/1769023747270/2026_04_03_Halifax_Lighthouse_LowRez.jpg?format=1500w,"light house arts centre, halifax, concerts, events",lighthouse
Merry Melodramas Presents: Sgt. Pepper’s Lonely Hearts Club!,,2026-03-20,8:00 PM,2026-03-20,,Sanctuary Arts Centre,,,,,,$31.77,"Arts & Culture, Live Music",https://aboutnovascotia.ca/hrmevent/merry-melodramas-presents-sgt-peppers-lonely-hearts-club-3/,https://sanctuaryartscentre.com/hs-fs/hubfs/signed-url-redirect-1.webp?width=1536&height=2048&name=signed-url-redirect-1.webp,,sanctuary
