Event Name,Event Description,Event Start Date,Event Start Time,Event End Date,Event End Time,Event Venue Name,Event Venue Country,Event Venue State/Province,Event Venue City,Event Venue Address,Event Venue Zip,Event Cost,Event Category,Event URL,Event Featured Image,Event Tags,SOURCE
LoveSelf – Solo & Trio,"Irish-born, Halifax-based artist LoveSelf promises a night of music “that will make you feel” – and who isn’t cool with that idea? – at The Carleton on Saturday, February 7th. The evening starts at 8 PM with a solo set, followed by the trio to round out the night. Tickets for this event are only",2026-02-07,20:00,2026-02-07,23:30,The Carleton,,,,,,,"Live Music, Arts & Culture",,https://www.thecarleton.ca/wp-content/uploads/2025/12/Carleton_Loveself_04-636x220.jpg,"the carleton, live music, halifax, concerts",carleton
Margaret Champion W/Scott Taylor & Cory Tetford,"On the heels of the release of a new single, Some Days, Margaret Champion, with Scott Taylor and special guest Cory Tetford, makes her début at The Carleton on Sunday, February 8th, Show time is a civilized 7 PM and tickets are $25 + HST. Margaret will share songs from her album Where Haunts Become",2026-02-08,19:00,2026-02-08,21:00,The Carleton,,,,,,,"Live Music, Arts & Culture",,https://www.thecarleton.ca/wp-content/uploads/2025/12/Carleton-Listing-Image-Margaret-Champion-1908-x-660-px-636x220.png,"the carleton, live music, halifax, concerts",carleton
Dee Hernandez – A Valentine’s Day Tribute To Ella Fitzgerald,"Thanks to the sell-out of her first show, Atlantic Canadian-based Cuban artist Dee Hernandez, adds a second celebration of the legacy of Ella Fitzgerald with a matinée at The Carleton on Valentine’s Day during her Black History Month Tribute Tour on Saturday, February 14th. Doors open at noon with show time at 1:30 PM. Tickets",2026-02-14,13:30,2026-02-14,15:30,The Carleton,,,,,,,"Live Music, Arts & Culture",,https://www.thecarleton.ca/wp-content/uploads/2025/10/Ella-Tribute-Carleton-Listing-page-636x220.png,"the carleton, live music, halifax, concerts",carleton
Greg Carroll Album Release W/Special Guests Lisa Richard & Warren Robert,"Seasoned musician Greg Carroll celebrates the release of his new album, Writing On The Wall – along with special guests Lisa Richard & Warren Robert – with a show at The Carleton on Thursday, February 26th. Live music gets underway at 7:30 PM and tickets are $25 + HST Greg Carroll is an accomplished musician, singer,",2026-02-26,19:30,2026-02-26,22:00,The Carleton,,,,,,,"Live Music, Arts & Culture",,https://www.thecarleton.ca/wp-content/uploads/2025/12/Carleton_GregCarroll_04-1-636x220.jpg,"the carleton, live music, halifax, concerts",carleton
Tracy & Martina: Live,DOORS 7PM | SHOW 8PM | All Ages,2026-03-19,8:00 PM,2026-03-19,11:59 PM,Light House Arts Centre,,,,,,,"Live Music, Arts & Culture, Festivals & Events",,http://static1.squarespace.com/static/650c701bfec2e6218a2e11d9/650de5d6dbc358317447df70/6941a3f26c46a4037b123acb/1765909737213/T%26M_TOUR_9x16_Halifax.jpg?format=1500w,"light house arts centre, halifax, concerts, events",lighthouse
Candlelight: Vivaldi’s Four Seasons & More,Enjoy Candlelight concerts! The best concerts performed under candlelights with live performers and in the most emblematic locations in Halifax.,2026-03-08,6:30 PM,2026-03-08,,Candlelight Concert (Halifax),,,,,,CA$36.00,"Live Music, Arts & Culture, Festivals & Events",,https://applications-media.feverup.com/image/upload/f_auto/fever2/filter/photo/f9199bae-9712-11ed-9d51-52fea6809c48.jpg,"candlelight, fever, halifax, concerts, classical music, tribute",candlelight
Bruce Guthro's Songwriters' Circle,19+ ID REQUIRED - SEATED SHOW - ACCESSIBLE SEATING AVAILABLE,2026-03-28,20:00,,,Casino Nova Scotia - The Bruce Guthro Theatre,,,,,,,Live Music,,https://s1.ticketm.net/dam/c/779/d4bc7e11-1b50-4aa4-a2be-0a21569f5779_106531_TABLET_LANDSCAPE_LARGE_16_9.jpg,"Music, Folk, Indie Folk",ticketmaster
Triumph: The Rock & Roll Machine Reloaded Tour,This show could be rescheduled in the event of a playoff game if needed.,2026-04-28,20:00,,,Scotiabank Centre,,,,,,,Live Music,,https://s1.ticketm.net/dam/a/a88/bb8d532f-c9c5-447d-b32e-44dcc803aa88_TABLET_LANDSCAPE_LARGE_16_9.jpg,"Music, Rock, Pop",ticketmaster
Cecilia Concerts: Christian Paquette & Steve Cowan,"7:30pm

7:30pm

Tickets",2026-02-21,07:30 PM,2026-02-21,,The Stage at St. Andrew's,,,,,,,"Arts & Culture, Live Music",,https://external-content.duckduckgo.com/iu/?u=https%3A%2F%2Flookaside.fbsbx.com%2Flookaside%2Fcrawler%2Fmedia%2F%3Fmedia_id%3D716084886970581&f=1&nofb=1&ipt=9af748a23f20d9883b80f40f366ef7aa4df1753593eb37620d146fef9e470bae,"Concert, The Stage, Halifax",standrews
Cecilia Concerts: Charles Yang & Peter Dugan,"7:30pm

7:30pm

Tickets",2026-03-14,07:30 PM,2026-03-14,,The Stage at St. Andrew's,,,,,,,"Arts & Culture, Live Music",,https://www.saintandrewshfx.ca/s/cdn/v1.0/i/m?url=https%3A%2F%2Fstorage.googleapis.com%2Fproduction-constantcontact-v1-0-4%2F674%2F1136674%2FhH13gthU%2F871e17c1be534b23bc0ffb927f881741&methods=resize%2C1000%2C5000,"Concert, The Stage, Halifax",standrews
