Event Name,Event Description,Event Start Date,Event Start Time,Event End Date,Event End Time,Event Venue Name,Event Venue Country,Event Venue State/Province,Event Venue City,Event Venue Address,Event Venue Zip,Event Cost,Event Category,Event URL,Event Featured Image,Event Tags,SOURCE
🤠💘 Boots & Hearts – Valentine’s Night at Neon Armadillo - Feb 14,"💘🤠 Boots & Hearts Valentine’s Party at Neon Armadillo 🤠💘

Celebrate Valentine’s Day the country way on February 14th!

Get ready for candy stations 🍬, kissing boots 😘👢, and nonstop country love vibes all night long. Whether you’re riding solo or bringing your sweetheart, this is the place to be.

Pull out your best Valentine cowboy or cowgirl outfit, turn heads, and make it a night to remember.

🎟 Wednesday VIP cards accepted

📍 1741 Grafton Street

📲 neonarmadillohfx",2026-02-14,10:00 PM,,03:30 AM,1741 Grafton Street,,,,,,,"Arts & Culture, Live Music, Seasonal & Holidays",https://downtownhalifax.ca/event/boots-hearts-valentines-night-neon-armadillo,,"Arts & Culture, Live Music & Nightlife, Seasonal & Holidays",Downtown Halifax
Dine Around 2026 - Feb 09,"Dine Around

is BACK! 🍽️

All throughout the month of

February

, you can savour special menus from your favourite

Downtown Halifax

restaurants priced at

$10, $20, $30, $40, $50,

or

$60

!

Take a look at the participating restaurants in

Downtown Halifax

here

.

See all the participating restaurants

here

.",2026-02-09,,,,Downtown Halifax,,,,,,10,Arts & Culture,https://downtownhalifax.ca/event/dine-around-2026,,Arts & Culture,Downtown Halifax
Discover Love: The Science of Sex - Feb 14,"This Valentine’s Day, step into an adults-only evening that explores sex, desire, and intimacy through curiosity, conversation and discovery.

Discover Love: The Science of Sex

dives into what drives attraction, arousal, and connection—and why it feels so powerful.

Through hands-on experiences, interactive sensory stations, expert-led talks, and a themed cocktail bar, you will explore the science behind sex and intimacy in ways that are playful, revealing and so much fun.

Whether you’re attending with a partner, friend(s) or solo, you’ll have a Valentine’s Day to remember!

Highlights:

❤️‍🔥 Toygasm! Discover Sex Toys 101 & retail shop presented by

Venus Envy

❤️‍🔥 Taste delicious ‘

Love Potion

’ cocktails from

The Clever Barkeep

❤️‍🔥 Hear from Dr. Natalie Rosen, Director of the Couples and Sexual Health Laboratory at Dalhousie University as she touches on science-based factors that promote sexual desire in long-term relationships

❤️‍🔥 Hand-on experiences about senses, pheromones and so much more!

❤️‍🔥 Explore Discovery Centre after dark

Limited early bird tickets are on sale now!

$20 plus HST while quantities last.",2026-02-14,07:00 PM,,10:00 PM,"Discovery Centre, 1215 Lower Water Street",,,,,,20,"Arts & Culture, Food & Drink, Live Music, Seasonal & Holidays, Theatre & Performance, Workshops & Classes",https://downtownhalifax.ca/event/discover-love-science-sex,,"Arts & Culture, Food & Drink, Live Music & Nightlife, Seasonal & Holidays, Theatre & Comedy, Workshops & Classes",Downtown Halifax
Indigenous Art Intervention Launch: Welcome to Turtle Island - Feb 13,"Join us for the launch of new artistic installation that invites visitors to look at this map of Canada in a new way. Welcome to Turtle Island is a collaboration between fused glass artists Melinda Robertson (Anishinaabe – Lake Manitoba First Nation) and Shannon Monk (Anisininew – St. Theresa Point First Nation / Mi’kmaq – Lennox Island First Nation / Celtic – Nova Scotia) of Tribal Fusion Art.

What to expect:

•	An opportunity to hear from the Artists and Museum staff about the intervention.

•	An opportunity to speak with the artists directly about their collaboration on the project.

•	Refreshments reflecting the diversity if indigenous food in Canada available.

Joignez-vous à nous pour le lancement d’une nouvelle installation artistique qui invite les visiteurs à regarder cette carte du Canada d’une nouvelle manière. Bienvenue sur l’île de la Tortue est une collaboration entre deux artistes du verre fusionné : Melinda Robertson (Anishinaabée - Première Nation du lac Manitoba) et Shannon Monk (Anisininew - Première Nation de St. Theresa Point / Première Nation mi'kmaq de l’île Lennox / Celte - Nouvelle-Écosse), de Tribal Fusion Art.

À quoi s’attendre :

•	Une occasion d’entendre les artistes et le personnel du Musée à propos de l’intervention.

•	Une occasion de s’entretenir directement avec les artistes au sujet de leur collaboration au projet.

•	Des rafraîchissements reflétant la diversité de la nourriture autochtone au Canada seront disponibles.",2026-02-13,03:00 PM,,,"1055 Marginal Road, Halifax NS B3H 4P7",,,,,,,"Arts & Culture, Food & Drink",https://downtownhalifax.ca/event/indigenous-art-intervention-launch-welcome-turtle-island,,"Arts & Culture, Food & Drink",Downtown Halifax
Spontaneity: Stand-up & Improv - Feb 12,"Stand-up Comedy that will inspire improv scenes - straight from their hearts and bad date experiences. Spontaneity Improv Company presents a one-night-only Bad-Date Themed comedy event packed with unscripted connections and stand-up surprises. Featuring a lovely and talented lineup of improvisers and stand-up comedians, this show blends romantic themes with gut-busting comedy for a night that’s equal parts cringy and hilarious. It’s heart-break season, let’s laugh about it.",2026-02-12,07:30 PM,,,"Rox Live, 1741 Grafton Street, Halifax",,,,,,,"Arts & Culture, Live Music, Theatre & Performance",https://downtownhalifax.ca/event/spontaneity-stand-improv,,"Arts & Culture, Live Music & Nightlife, Theatre & Comedy",Downtown Halifax
The Sweet Talk Social at Verve Gallery - Feb 12,"Let the Craft do the talking.

Join us at Verve Gallery for an evening that celebrates the bold, the witty, and the beautifully outspoken. The Sweet Talk Social is a curated shopping experience designed for those who appreciate fine craft with a side of sass.

This evening, we are especially excited to debut our expanded collection of jewellery. From delicate hand-crafted staples to bold, sculptural statements, find the perfect piece to wear—or give—this season.

Event Details:

When: Thursday, February 12th | 6:00 PM – 8:00 PM

Where: Verve Fine Craft Gallery, 1573 Barrington St. Halifax, NS

The Vibe: Craft, new jewellery arrivals, light refreshments, and spirited conversation.

Come for the craft, stay for the conversation.",2026-02-12,06:00 PM,,08:00 PM,1573 Barrington Street,,,,,,,"Arts & Culture, Live Music, Workshops & Classes",https://downtownhalifax.ca/event/sweet-talk-social-verve-gallery,,"Arts & Culture, Live Music & Nightlife, Workshops & Classes",Downtown Halifax
Better Times Comedy at Good Robot - Feb 12,"Better Times Comedy is a stand-up comedy show at Good Robot Brewing (Robie St.) every Thursday. Regular guests include Clare Belford (writer, This Hour Has 22 Minutes), Dan Hendricken (CBC ... Read More »",2026-02-12,7:00 PM,2026-02-12,10:00 PM,Good Robot Brewing Co.,,,,,,8,"Food & Drink, Live Music & Nightlife, Comedy & Nightlife",https://goodrobotbrewing.ca/event/better-times-comedy-at-good-robot/2026-02-12/,https://mycomedytickets.nyc3.digitaloceanspaces.com/waffle/uploads/IwV6-1499.jpg,"good robot, brewery, trivia, comedy, events",goodrobot
Better Times Comedy at Good Robot - Feb 19,"Better Times Comedy is a stand-up comedy show at Good Robot Brewing (Robie St.) every Thursday. Regular guests include Clare Belford (writer, This Hour Has 22 Minutes), Dan Hendricken (CBC ... Read More »",2026-02-19,7:00 PM,2026-02-19,10:00 PM,Good Robot Brewing Co.,,,,,,,"Food & Drink, Live Music & Nightlife, Comedy & Nightlife",https://goodrobotbrewing.ca/event/better-times-comedy-at-good-robot/2026-02-19/,,"good robot, brewery, trivia, comedy, events",goodrobot
Better Times Comedy at Good Robot - Feb 26,"Better Times Comedy is a stand-up comedy show at Good Robot Brewing (Robie St.) every Thursday. Regular guests include Clare Belford (writer, This Hour Has 22 Minutes), Dan Hendricken (CBC ... Read More »",2026-02-26,7:00 PM,2026-02-26,10:00 PM,Good Robot Brewing Co.,,,,,,,"Food & Drink, Live Music & Nightlife, Comedy & Nightlife",https://goodrobotbrewing.ca/event/better-times-comedy-at-good-robot/2026-02-26/,,"good robot, brewery, trivia, comedy, events",goodrobot
Better Times Comedy at Good Robot - Mar 05,"Better Times Comedy is a stand-up comedy show at Good Robot Brewing (Robie St.) every Thursday. Regular guests include Clare Belford (writer, This Hour Has 22 Minutes), Dan Hendricken (CBC ... Read More »",2026-03-05,7:00 PM,2026-03-05,10:00 PM,Good Robot Brewing Co.,,,,,,,"Food & Drink, Live Music & Nightlife, Comedy & Nightlife",https://goodrobotbrewing.ca/event/better-times-comedy-at-good-robot/2026-03-05/,,"good robot, brewery, trivia, comedy, events",goodrobot
Better Times Comedy at Good Robot - Mar 12,"Better Times Comedy is a stand-up comedy show at Good Robot Brewing (Robie St.) every Thursday. Regular guests include Clare Belford (writer, This Hour Has 22 Minutes), Dan Hendricken (CBC ... Read More »",2026-03-12,7:00 PM,2026-03-12,10:00 PM,Good Robot Brewing Co.,,,,,,,"Food & Drink, Live Music & Nightlife, Comedy & Nightlife",https://goodrobotbrewing.ca/event/better-times-comedy-at-good-robot/2026-03-12/,,"good robot, brewery, trivia, comedy, events",goodrobot
Monday Night Trivia - Mar 16,"Halifax trivia lovers! Join us for Monday Night Trivia! Hosted by Brad Doiron, the first three Mondays of each month will feature free, general trivia in the taproom starting at ... Read More »",2026-03-16,7:00 PM,2026-03-16,9:30 PM,Good Robot Brewing Co.,,,,,,Free,"Food & Drink, Live Music & Nightlife, Comedy & Nightlife",https://goodrobotbrewing.ca/event/monday-night-trivia/2026-03-16/,,"good robot, brewery, trivia, comedy, events",goodrobot
Better Times Comedy at Good Robot - Mar 19,"Better Times Comedy is a stand-up comedy show at Good Robot Brewing (Robie St.) every Thursday. Regular guests include Clare Belford (writer, This Hour Has 22 Minutes), Dan Hendricken (CBC ... Read More »",2026-03-19,7:00 PM,2026-03-19,10:00 PM,Good Robot Brewing Co.,,,,,,,"Food & Drink, Live Music & Nightlife, Comedy & Nightlife",https://goodrobotbrewing.ca/event/better-times-comedy-at-good-robot/2026-03-19/,,"good robot, brewery, trivia, comedy, events",goodrobot
SOLD OUT: Dee Hernandez – A Valentine’s Day Tribute To Ella Fitzgerald – matinee - Feb 14,"Thanks to the sell-out of her first show, Atlantic Canadian-based Cuban artist Dee Hernandez, adds a second celebration of the legacy of Ella Fitzgerald with a matinée at The Carleton on Valentine’s Day during her Black History Month Tribute Tour on Saturday, February 14th. Doors open at noon for brunch and beverages with show time",2026-02-14,13:30,2026-02-14,15:30,The Carleton,,,,,,30,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/dee-hernandez-a-valentines-day-tribute-to-ella-fitzgerald/,https://www.thecarleton.ca/wp-content/uploads/2025/10/Ella-Tribute-Carleton-Listing-page-636x220.png,"the carleton, live music, halifax, concerts",carleton
SOLD OUT: Dave Gunning Album Release – Thursday - Feb 19,"The Carleton is thrilled to welcome our good friend Dave Gunning back to the stage to celebrate the release of his fifteenth studio album, Field Notes. Recorded in Point Lonsdale, Australia, in June of last year, this new collection is stripped back and emotionally rich, returning to the heart of what Dave does best: telling",2026-02-19,19:30,2026-02-19,21:30,The Carleton,,,,,,45.60,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/dave-gunning-feb19/,https://www.thecarleton.ca/wp-content/uploads/2026/01/Carleton_Gunning_FieldNotes_07-636x220.jpg,"the carleton, live music, halifax, concerts",carleton
SOLD OUT: Dave Gunning Album Release – Friday - Feb 20,"The Carleton is thrilled to welcome our good friend Dave Gunning back to the stage to celebrate the release of his fifteenth studio album, Field Notes. Recorded in Point Lonsdale, Australia, in June of last year, this new collection is stripped back and emotionally rich, returning to the heart of what Dave does best: telling",2026-02-20,20:00,2026-02-20,22:00,The Carleton,,,,,,45.60,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/dave-gunning-feb20/,https://www.thecarleton.ca/wp-content/uploads/2026/01/Carleton_Gunning_FieldNotes_07-636x220.jpg,"the carleton, live music, halifax, concerts",carleton
Ty Messick & Friends - Feb 21,"One of our most under-rated songwriters and performers, Ty Messick, with friends including Pictou County singing legend Virgil Muir – because they’re so damned good – will return to The Carleton again on Saturday, February 21st. Show time is 8 PM and tickets are only $10 + HST. Their sets will include Ty’s original music",2026-02-21,20:00,2026-02-21,23:00,The Carleton,,,,,,10,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/ty-messick-friends-2/,https://www.thecarleton.ca/wp-content/uploads/2026/01/Carleton_TyMessick_04-636x220.jpg,"the carleton, live music, halifax, concerts",carleton
Craft Draught Showdown: Garrison VS Church - Feb 25,"Join us at 7:00 PM on Wednesday, February 25th when the Garrison and Church brewing companies go head to head. Enjoy a five-course dinner crafted by Chef Mathias Probst and his team, each course paired with two 4 oz. brews selected by competing Brewmasters. Chefs and Brewmasters will join you throughout the evening to share the story behind",2026-02-25,19:00,2026-02-25,22:00,The Carleton,,,,,,100,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/craft-draught-showdown-garrison-vs-church/,https://www.thecarleton.ca/wp-content/uploads/2026/01/CarletonCraftDraught_2026_GarrisonChurch_03-636x220.jpg,"the carleton, live music, halifax, concerts",carleton
Gypsy – The Music Of Fleetwood Mac - Mar 07,"If you love the music of Fleetwood Mac (and let’s face it, who doesn’t), it would be a wise move to get down to The Carleton to catch GYPSY (featuring our own Jon Cornwall on keys and vocals) on Saturday, March 7th. The singing and dancing along (we’re pretty sure that’ll happen) will commence at 8",2026-03-07,20:00,2026-03-07,23:00,The Carleton,,,,,,40,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/gypsy/,https://www.thecarleton.ca/wp-content/uploads/2026/01/Unknown-4-636x220.jpeg,"the carleton, live music, halifax, concerts",carleton
Ian Janes - Mar 08,"We are thrilled to announce that Ian Janes will be back for his first 2026 show at The Carleton on Sunday, March 8th at 7 PM. If you’ve been to one of Ian’s solo shows at the Carleton, we know why you’ll be coming back. If you’re a first timer…this one won’t be your last.",2026-03-08,19:00,2026-03-08,21:30,The Carleton,,,,,,34.20,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/ian-janes-3/,https://www.thecarleton.ca/wp-content/uploads/2026/01/SITE_IJ_CAR_march-8th-636x220.png,"the carleton, live music, halifax, concerts",carleton
Shaggy Dog: Stories At The Carleton - Mar 19,"Last fall’s successful, and highly entertaining, Story Night has now morphed into Shaggy Dog: Stories At The Carleton, and this new iteration is set to go with 8-10 new storytellers at The Carleton on Thursday, March 19th. Our speakers will begin spinning true yarns at 7:30 PM and tickets – with all proceeds going to",2026-03-19,19:30,2026-03-19,21:30,The Carleton,,,,,,14.25,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/shaggy-dog-stories-at-the-carleton/,https://www.thecarleton.ca/wp-content/uploads/2026/01/Carleton_ShaggyDogStories__04-636x220.jpg,"the carleton, live music, halifax, concerts",carleton
Broadway Brunch – Stephen Sondheim vs Andrew Lloyd Webber – Saturday - Mar 21,"Halifax’s hottest cabaret series – Broadway Brunch – is back at The Carleton on Saturday, March 21st featuring songs by Stephen Sondheim and Andrew Lloyd Webber. Did you know they share the same birthday!? Hosted by Kyle Gillis and featuring the sizzling talents of our region’s finest, they will be serving up delicious and mouthwatering",2026-03-21,13:00,2026-03-21,14:30,The Carleton,,,,,,30,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/broadway-brunch-sondheim-webber-mar21/,https://www.thecarleton.ca/wp-content/uploads/2026/01/Broadway-Brunch-web-logo-636x220.png,"the carleton, live music, halifax, concerts",carleton
Broadway Brunch – Stephen Sondheim vs Andrew Lloyd Webber – Sunday - Mar 22,"Halifax’s hottest cabaret series – Broadway Brunch – is back at The Carleton on Sunday, March 22nd featuring songs by Stephen Sondheim and Andrew Lloyd Webber. Did you know they share the same birthday!? Hosted by Kyle Gillis and featuring the sizzling talents of our region’s finest, they will be serving up delicious and mouthwatering",2026-03-22,13:00,2026-03-22,14:30,The Carleton,,,,,,30,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/broadway-brunch-sondheim-webber-mar22/,https://www.thecarleton.ca/wp-content/uploads/2026/01/Broadway-Brunch-web-logo-636x220.png,"the carleton, live music, halifax, concerts",carleton
Floodland Plays The Beatles - Mar 27,"Floodland brings their acclaimed Beatles tribute to The Carleton on March 27th. The Halifax band will perform Revolver cut for cut, honoring the album’s 60th birthday, plus beloved hits spanning the Fab Four’s career. Expect soaring harmonies, raucous sing-alongs, and a joyful, immersive night of timeless pop-rock brilliance. The show gets underway at 8:00 PM",2026-03-27,20:00,2026-03-27,22:00,The Carleton,,,,,,25,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/floodland-plays-the-beatles/,https://www.thecarleton.ca/wp-content/uploads/2026/01/Carleton_Floodland_04-636x220.jpg,"the carleton, live music, halifax, concerts",carleton
SOLD OUT A Tribute To John Prine – evening - Mar 28,"Some of New Brunswick’s finest songwriters – Kylie Fox, Brent Mason, Sandy MacKay & Wade Hallihan – bring their tribute to one of the greatest of all time, John Prine, to The Carleton on Saturday, March 28th. Due to a speedy sellout of the matinee, we are thrilled to present a second (evening) show! Start",2026-03-28,20:00,2026-03-28,22:00,The Carleton,,,,,,25,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/a-tribute-to-john-prine-evening/,https://www.thecarleton.ca/wp-content/uploads/2025/12/The-Carleton-1908x660-1-636x220.png,"the carleton, live music, halifax, concerts",carleton
8 TIX LEFT! Charlie A’Court - Apr 02,"The ridiculously amazing voice and guitar of Charlie A’Court return to The Carleton for what will be his usual jaw-dropping performance on Thursday, April 2nd. Show time is 7:30 PM and tickets (while they last) are $35 + HST. Planted at the crossroads of roots and soul, Charlie A’Court possesses a mighty voice, fierce guitar work",2026-04-02,19:30,2026-04-02,21:30,The Carleton,,,,,,35,"Live Music, Arts & Culture",https://www.thecarleton.ca/events/charlie-acourt-apr2/,https://www.thecarleton.ca/wp-content/uploads/2026/01/Carleton_CharlieACourt_04-636x220.jpg,"the carleton, live music, halifax, concerts",carleton
